date,cpi,interest_rate,unemployment,industrial_production
2009-04-01,212.709,0.15,9.0,85.9344
2009-05-01,213.022,0.18,9.4,85.0665
2009-06-01,214.79,0.21,9.5,84.7459
2009-07-01,214.726,0.16,9.5,85.7027
2009-08-01,215.445,0.16,9.6,86.6426
2009-09-01,215.861,0.15,9.8,87.4063
2009-10-01,216.509,0.12,10.0,87.6419
2009-11-01,217.234,0.12,9.9,88.0221
2009-12-01,217.347,0.12,9.9,88.3793
2010-01-01,217.488,0.11,9.8,89.3426
2010-02-01,217.281,0.13,9.8,89.6779
2010-03-01,217.353,0.16,9.9,90.2928
2010-04-01,217.403,0.2,9.9,90.5991
2010-05-01,217.29,0.2,9.6,91.823
2010-06-01,217.199,0.18,9.4,91.9928
2010-07-01,217.605,0.18,9.4,92.3421
2010-08-01,217.923,0.19,9.5,92.6805
2010-09-01,218.275,0.19,9.5,92.9537
2010-10-01,219.035,0.19,9.4,92.6903
2010-11-01,219.59,0.19,9.8,92.7709
2010-12-01,220.472,0.18,9.3,93.6787
2011-01-01,221.187,0.17,9.1,93.4814
2011-02-01,221.898,0.16,9.0,93.1102
2011-03-01,223.046,0.14,9.0,94.0788
2011-04-01,224.093,0.1,9.1,93.7749
2011-05-01,224.806,0.09,9.0,93.888
2011-06-01,224.806,0.09,9.1,94.172
2011-07-01,225.395,0.07,9.0,94.636
2011-08-01,226.106,0.1,9.0,95.2749
2011-09-01,226.597,0.08,9.0,95.1961
2011-10-01,226.75,0.07,8.8,95.8568
2011-11-01,227.169,0.08,8.6,95.8485
2011-12-01,227.223,0.07,8.5,96.3571
2012-01-01,227.842,0.08,8.3,96.9318
2012-02-01,228.329,0.1,8.3,97.2435
2012-03-01,228.807,0.13,8.2,96.74
2012-04-01,229.187,0.14,8.2,97.4359
2012-05-01,228.713,0.16,8.2,97.6609
2012-06-01,228.524,0.16,8.2,97.6663
2012-07-01,228.59,0.16,8.2,97.8713
2012-08-01,229.918,0.13,8.1,97.4525
2012-09-01,231.015,0.14,7.8,97.381
2012-10-01,231.638,0.16,7.8,97.7193
2012-11-01,231.249,0.16,7.7,98.0777
2012-12-01,231.221,0.16,7.9,98.3101
2013-01-01,231.679,0.14,8.0,98.3342
2013-02-01,232.937,0.15,7.7,98.7941
2013-03-01,232.282,0.14,7.5,99.1921
2013-04-01,231.797,0.15,7.6,99.1065
2013-05-01,231.893,0.11,7.5,99.1839
2013-06-01,232.445,0.09,7.5,99.3897
2013-07-01,232.9,0.09,7.3,99.0814
2013-08-01,233.456,0.08,7.2,99.6543
2013-09-01,233.544,0.08,7.2,100.161
2013-10-01,233.669,0.09,7.2,100.082
2013-11-01,234.1,0.08,6.9,100.3158
2013-12-01,234.719,0.09,6.7,100.5175
2014-01-01,235.288,0.07,6.6,100.1599
2014-02-01,235.547,0.07,6.7,100.9168
2014-03-01,236.028,0.08,6.7,101.8942
2014-04-01,236.468,0.09,6.2,101.9928
2014-05-01,236.918,0.09,6.3,102.3836
2014-06-01,237.231,0.1,6.1,102.735
2014-07-01,237.498,0.09,6.2,102.9632
2014-08-01,237.46,0.09,6.1,102.7688
2014-09-01,237.477,0.09,5.9,103.0641
2014-10-01,237.43,0.09,5.7,103.0764
2014-11-01,236.983,0.09,5.8,103.7126
2014-12-01,236.252,0.12,5.6,103.7044
2015-01-01,234.747,0.11,5.7,102.8905
2015-02-01,235.342,0.11,5.5,102.2335
2015-03-01,235.976,0.11,5.4,101.8914
2015-04-01,236.222,0.12,5.4,101.3355
2015-05-01,237.001,0.12,5.6,100.8883
2015-06-01,237.657,0.13,5.3,100.571
2015-07-01,238.034,0.13,5.2,101.2228
2015-08-01,238.033,0.14,5.1,101.0367
2015-09-01,237.498,0.14,5.0,100.7547
2015-10-01,237.733,0.12,5.0,100.2675
2015-11-01,238.017,0.12,5.1,99.5298
2015-12-01,237.761,0.24,5.0,99.0417
2016-01-01,237.652,0.34,4.8,99.5607
2016-02-01,237.336,0.38,4.9,99.0445
2016-03-01,238.08,0.36,5.0,98.3096
2016-04-01,238.992,0.37,5.1,98.6421
2016-05-01,239.557,0.37,4.8,98.4184
2016-06-01,240.222,0.38,4.9,98.8833
2016-07-01,240.101,0.39,4.8,98.9992
2016-08-01,240.545,0.4,4.9,98.85
2016-09-01,241.176,0.4,5.0,98.7457
2016-10-01,241.741,0.4,4.9,98.7611
2016-11-01,242.026,0.41,4.7,98.3491
2016-12-01,242.637,0.54,4.7,99.0214
2017-01-01,243.618,0.65,4.7,98.7611
2017-02-01,244.006,0.66,4.6,98.3646
2017-03-01,243.892,0.79,4.4,99.0137
2017-04-01,244.193,0.9,4.4,100.0224
2017-05-01,244.004,0.91,4.4,100.1408
2017-06-01,244.163,1.04,4.3,100.3471
2017-07-01,244.243,1.15,4.3,100.1068
2017-08-01,245.183,1.16,4.4,99.6925
2017-09-01,246.435,1.15,4.3,99.7954
2017-10-01,246.626,1.15,4.2,101.0247
2017-11-01,247.284,1.16,4.2,101.2664
2017-12-01,247.805,1.3,4.1,101.4644
2018-01-01,248.859,1.41,4.0,101.4625
2018-02-01,249.529,1.42,4.1,101.7085
2018-03-01,249.577,1.51,4.0,102.2067
2018-04-01,250.227,1.69,4.0,103.3329
2018-05-01,250.792,1.7,3.8,102.4024
2018-06-01,251.018,1.82,4.0,103.198
2018-07-01,251.214,1.91,3.8,103.3646
2018-08-01,251.663,1.91,3.8,104.0327
2018-09-01,252.182,1.95,3.7,104.1004
2018-10-01,252.772,2.19,3.8,103.9856
2018-11-01,252.594,2.2,3.8,104.0681
2018-12-01,252.767,2.27,3.9,104.0936
2019-01-01,252.561,2.4,4.0,103.4021
2019-02-01,253.319,2.4,3.8,102.8371
2019-03-01,254.277,2.41,3.8,102.8757
2019-04-01,255.233,2.42,3.7,102.274
2019-05-01,255.296,2.39,3.6,102.392
2019-06-01,255.213,2.38,3.6,102.4375
2019-07-01,255.802,2.4,3.7,101.9408
2019-08-01,256.036,2.13,3.6,102.639
2019-09-01,256.43,2.04,3.5,102.2917
2019-10-01,257.155,1.83,3.6,101.4281
2019-11-01,257.879,1.55,3.6,101.9372
2019-12-01,258.63,1.55,3.6,101.7003
2020-01-01,259.127,1.55,3.6,101.0338
2020-02-01,259.25,1.58,3.5,101.3735
2020-03-01,258.076,0.65,4.4,97.4078
2020-04-01,256.032,0.05,14.8,84.5619
2020-05-01,255.802,0.05,13.2,85.9604
2020-06-01,257.042,0.08,11.0,91.5934
2020-07-01,258.352,0.09,10.2,95.0256
2020-08-01,259.316,0.1,8.4,95.9549
2020-09-01,259.997,0.09,7.8,95.9669
2020-10-01,260.319,0.09,6.9,96.7394
2020-11-01,260.911,0.09,6.7,97.0816
2020-12-01,262.045,0.09,6.7,98.363
2021-01-01,262.639,0.09,6.4,98.8822
2021-02-01,263.573,0.08,6.2,95.6149
2021-03-01,264.847,0.07,6.1,98.3856
2021-04-01,266.625,0.07,6.1,98.5587
2021-05-01,268.404,0.06,5.8,99.4333
2021-06-01,270.71,0.08,5.9,99.7987
2021-07-01,271.965,0.1,5.4,100.2519
2021-08-01,272.752,0.09,5.1,100.0437
2021-09-01,273.942,0.08,4.7,98.8579
2021-10-01,276.528,0.08,4.5,100.1861
2021-11-01,278.824,0.08,4.2,100.8654
2021-12-01,280.806,0.08,3.9,100.5726
2022-01-01,282.542,0.08,4.0,100.1856
2022-02-01,284.525,0.08,3.8,100.8064
2022-03-01,287.467,0.2,3.7,101.3907
2022-04-01,288.582,0.33,3.7,101.44
2022-05-01,291.299,0.77,3.6,101.3335
2022-06-01,295.072,1.21,3.6,101.018
2022-07-01,294.94,1.68,3.5,101.223
2022-08-01,295.162,2.33,3.6,101.0963
2022-09-01,296.421,2.56,3.5,101.2918
2022-10-01,297.979,3.08,3.6,101.2529
2022-11-01,298.708,3.78,3.6,100.9552
2022-12-01,298.808,4.1,3.5,99.7664
2023-01-01,300.456,4.33,3.5,100.505
2023-02-01,301.476,4.57,3.6,100.6416
2023-03-01,301.643,4.65,3.5,101.0205
2023-04-01,302.858,4.83,3.4,101.253
2023-05-01,303.316,5.06,3.6,100.9286
2023-06-01,304.099,5.08,3.6,100.1196
2023-07-01,304.615,5.12,3.5,100.9067
2023-08-01,306.138,5.33,3.7,100.8393
2023-09-01,307.374,5.33,3.8,101.0211
2023-10-01,307.653,5.33,3.9,100.4689
2023-11-01,308.087,5.33,3.7,100.8639
2023-12-01,308.735,5.33,3.8,100.6031
2024-01-01,309.794,5.33,3.7,99.2223
2024-02-01,311.022,5.33,3.9,100.285
2024-03-01,312.107,5.33,3.9,100.4575
2024-04-01,313.016,5.33,3.9,100.2434
2024-05-01,313.14,5.33,4.0,100.863
2024-06-01,313.131,5.33,4.1,100.894
2024-07-01,313.566,5.33,4.2,99.9757
2024-08-01,314.131,5.33,4.2,100.4309
2024-09-01,314.851,5.13,4.1,99.8084
2024-10-01,315.564,4.83,4.1,99.4695
2024-11-01,316.449,4.64,4.2,99.2925
2024-12-01,317.603,4.48,4.1,100.3273
2025-01-01,319.086,4.33,4.0,100.0647
2025-02-01,319.775,4.33,4.1,101.0993
2025-03-01,319.615,4.33,4.2,101.0404
2025-04-01,320.321,4.33,4.2,101.1279
2025-05-01,320.58,4.33,4.2,100.9655
2025-06-01,321.5,4.33,4.1,101.4785
2025-07-01,322.132,4.33,4.2,101.8738
2025-08-01,323.364,4.33,4.3,101.6019
2025-09-01,324.368,4.22,4.4,101.6729
2025-11-01,325.031,3.88,4.6,101.7935
